mix_id,audio_url,audio_length,audio_size,audio_sr,audio_source,num_tracks,all_ided,num_ided_tracks,dj_id
ql23u0k,https://soundcloud.com/lucasandsteve/lucas-steve-presents-skyline-sessions-157,3600.5958276644,54.9418039322,44100,soundcloud,18,True,18,lucasandsteve
1wnwmdwk,https://youtu.be/1pEoY9boxh4,3810.2965833333,116.4961137772,48000,youtube,15,True,15,robinschulz
2hc1k5dk,https://soundcloud.com/mikewilliamsontrack/mike-williams-on-track-109,3344.5355102041,51.0343580246,44100,soundcloud,16,True,16,mikewilliams
u81lhc9,https://www.mixcloud.com/AZ_Music/futuristic-polar-bears-back-to-earth-119/,3634.0157823129,107.9223155975,44100,mixcloud,18,True,18,futuristicpolarbears
lu5xkct,https://www.mixcloud.com/fromthemusic/from-the-music-020/,3594.7740589569,106.5247058868,44100,mixcloud,20,True,20,dinodelmoro
npup669,https://soundcloud.com/steveaoki/aokis-house-381,3587.813877551,54.7464914322,44100,soundcloud,19,True,19,steveaoki
3bwxbkt,https://soundcloud.com/lucasandsteve/lucas-steve-present-skyline-sessions-4-amsterdam,3488.8919954648,53.237402916,44100,soundcloud,15,True,15,lucasandsteve
21dyp3s9,https://youtu.be/0-Cr8ruMuNA,3675.1216041667,114.4188051224,48000,youtube,12,True,12,jazzuelle
1lhdtcxk,https://youtu.be/b-Hp4F36Ons,3607.191625,112.8869447708,48000,youtube,19,True,19,bassjackers
u6hy92t,https://soundcloud.com/novadoseradio/novadose133,3427.5526530612,52.3010988235,44100,soundcloud,16,True,16,jainova
28v826qk,https://soundcloud.com/jay-hardway/jay-hardway-inspire-radio-ep-70,3568.613877551,54.4535226822,44100,soundcloud,18,True,18,jayhardway
zsbdrkk,https://www.mixcloud.com/EatDanceRaveRepeat/deadmau5-live-ultra-music-festival-2016-miami/,3360.1596371882,97.2549495697,44100,mixcloud,12,True,12,deadmau5
85b05ck,https://soundcloud.com/hardwell/hardwell-on-air-201-unitedweare-album-special-download,3365.9629931973,51.3616056442,44100,soundcloud,15,True,15,hardwell
1cyyf571,https://www.mixcloud.com/AZ_Music/nervo-tomorrowland-one-world-radio-top-30-2019-06-14/,3601.0898866213,104.8152685165,44100,mixcloud,20,True,20,nervo
2rs0runk,https://youtu.be/rHrGOD5bH8o,4050.4257291667,126.0856676102,48000,youtube,20,True,20,unknown
1kgs3tuk,https://youtu.be/bZAOZSTixaM,4097.8989375,123.7954072952,48000,youtube,17,True,17,arminvanbuuren
21b6puwk,https://soundcloud.com/lucasandsteve/lucas-steve-present-skyline-sessions-019,3606.2835147392,55.0286979675,44100,soundcloud,18,True,18,lucasandsteve
25z1r4f1,https://soundcloud.com/intheairepisodes/morgan-page-in-the-air-episode-350,3600.0653061224,54.933432579,44100,soundcloud,17,True,17,morganpage
253clbg1,https://soundcloud.com/igniterecordings/firebeatz-presents-ignite-radio-067,3597.0089795918,54.8867969513,44100,soundcloud,16,True,16,firebeatz
2gg6skd1,https://www.mixcloud.com/NoXcuses/no-xcuses-episode-463/,3600.1610884354,105.1286020279,44100,mixcloud,13,True,13,edx
x1uul99,https://www.mixcloud.com/MartinGarrix/the-martin-garrix-show-236/,3600.1146485261,106.9100780487,44100,mixcloud,18,True,18,martingarrix
26zr5w59,https://soundcloud.com/axtone/axtone-approved-manyfew,3600.0,54.9326353073,44100,soundcloud,19,True,19,manyfew
2l2bx2h9,https://youtu.be/MlmGqpEkqP8,3528.2089583333,109.7163362503,48000,youtube,17,True,17,kura
261zkjlk,https://soundcloud.com/pleinvrees/worakls-pleinvrees-ade-x-hungry-music-x-sinners-17102019,4149.5781405896,63.3187170029,44100,soundcloud,11,True,11,worakls
pn33bsk,https://www.mixcloud.com/Wolfpack/wolfpack-midnight-hour-93/,3640.1458503401,107.8176584244,44100,mixcloud,25,True,25,wolfpack
12nlt6mt,https://soundcloud.com/marlomusic/altitude-radio-episode-018,3498.1355102041,53.3781080246,44100,soundcloud,15,True,15,marlo
2m2cdwj9,https://youtu.be/jHkmkpoixV4,3672.3468333333,112.241314888,48000,youtube,13,True,13,unknown
bf8uww1,https://youtu.be/4OQV0CWMxl0,3588.8130416667,110.8951921463,48000,youtube,19,True,19,hardwell
u8qp65k,https://soundcloud.com/cartaofficial/carta-co-episode-104,3597.256984127,54.8907833099,44100,soundcloud,19,True,19,carta
cd05t9t,https://youtu.be/eVy126sGK5A,3059.8508541667,85.707821846,48000,youtube,12,True,12,unknown
1dwr0ruk,https://soundcloud.com/noraenpure/purified-145,3600.0391836735,54.9330339432,44100,soundcloud,11,True,11,noraenpure
2wbfq2ft,https://www.mixcloud.com/MartinGarrix/the-martin-garrix-show-137/,3600.253968254,106.5443086624,44100,mixcloud,17,True,17,martingarrix
1bz40m7k,https://soundcloud.com/sandervandoorn/svd-identity-400-liveset-eng,3590.0614739229,54.7811689377,44100,soundcloud,20,True,20,sandervandoorn
bcjcf11,https://www.mixcloud.com/spinninsessions2/spinnin-sessions-187-florian-picasso-guestmix/,3605.4087981859,103.4659156799,44100,mixcloud,20,True,20,florianpicasso
26ztcctk,https://soundcloud.com/yves-v/v-sessions-237,3482.4359183674,53.1385507584,44100,soundcloud,17,True,17,yvesv
1jmtk9kt,https://soundcloud.com/mikewilliamsontrack/mike-williams-on-track-119,3423.7126530612,52.2425050735,44100,soundcloud,17,True,17,mikewilliams
2ujwwqs1,https://soundcloud.com/lvndscapeseasons/lvndscape-season-35,3590.0604081633,54.7807703018,44100,soundcloud,18,True,18,lvndscape
1cyppg1k,https://www.mixcloud.com/AZ_Music/r3hab-i-need-r3hab-338/,3551.2598639456,101.1686086655,44100,mixcloud,18,True,18,r3hab
9hqzl61,https://soundcloud.com/steveaoki/aokis-house-359,3567.5689795918,54.4375782013,44100,soundcloud,19,True,19,steveaoki
2wdku35k,https://youtu.be/681g3KA7Xe8,3600.5049791667,110.4348421097,48000,youtube,19,True,19,arminvanbuuren
1cxg5cv9,https://www.mixcloud.com/insomniacevents/zonderling-edc-orlando-2017-mix/,3652.0344671202,111.6931905746,44100,mixcloud,17,True,17,zonderling
2m34gqqt,https://soundcloud.com/feddelegrand/darklight-sessions-381,3581.7273469388,54.6536178589,44100,soundcloud,21,True,21,feddelegrand
6362kc9,https://youtu.be/mL5LBN1VSf0,2685.6496875,82.6494340897,48000,youtube,12,True,12,erikarbores
1gs3mlyk,https://www.mixcloud.com/AZ_Music/futuristic-polar-bears-back-to-earth-135/,3607.6843537415,107.1705665588,44100,mixcloud,17,True,17,futuristicpolarbears
rh0ll9t,https://soundcloud.com/ferry-corsten/corstens-countdown-611,3533.5314285714,53.9182062149,44100,soundcloud,12,True,12,ferrycorsten
sf7mbr9,https://soundcloud.com/tritonalmusic/tritonia-264,3683.0563265306,56.1997756958,44100,soundcloud,12,True,12,tritonal
1fupxhy1,https://soundcloud.com/jeffreysutoriusofficial/jeffrey-sutorius-july-mix-2019,3106.6383673469,47.404335022,44100,soundcloud,14,True,14,jeffreysutorius
1zjzg3hk,https://soundcloud.com/madisonmars/house-of-mars-episode-15,3573.1591836735,54.5228776932,44100,soundcloud,19,True,19,madisonmars
1cy7h111,https://www.mixcloud.com/SJ_RM/sexy-by-nature-radio-230-by-sunnery-james-ryan-marciano/,3565.6562358277,106.1423835754,44100,mixcloud,16,True,16,sunneryjamesandryanmarciano
w1wln21,https://www.mixcloud.com/StaffordBrothers/205-somethingbig-stafford-brothers-artist-spotlight-gta/,3600.1610884354,107.4343643188,44100,mixcloud,17,True,17,staffordbrothers
1jn7gxb9,https://soundcloud.com/stevevoidmusic/rf042,3600.0653061224,54.933432579,44100,soundcloud,19,True,19,stevevoid
26zt18kt,https://youtu.be/h1ucP6QmDaU,5960.6965833333,181.8687257767,48000,youtube,21,True,21,stevebrian
14fnp6x1,https://www.mixcloud.com/Quintino/quintino-presents-supersoniq-radio-episode-155/,3586.3684353742,105.0043296814,44100,mixcloud,16,True,16,quintino
2h9uyz81,https://soundcloud.com/weraveyou/e23-brooks,3628.3036734694,55.3643159866,44100,soundcloud,17,True,17,brooks
957g0n1,https://youtu.be/1LaDXdzc5Io,3343.1691458333,100.9922304153,48000,youtube,15,True,15,sandervandoorn
pjkutf9,https://soundcloud.com/ineedr3hab/r3hab-i-need-r3hab-186,3550.9289795918,54.1836719513,44100,soundcloud,17,True,17,r3hab
